,Team,GP,W,D,L,F,A,GD,Pts
0,"



                                    Man City
                                

",38,28,5,5,94,33,61,89
1,"



                                    Arsenal
                                

",38,26,6,6,88,43,45,84
2,"



                                    Man Utd
                                

",38,23,6,9,58,43,15,75
3,"



                                    Newcastle
                                

",38,19,14,5,68,33,35,71
4,"



                                    Liverpool
                                

",38,19,10,9,75,47,28,67
5,"



                                    Brighton
                                

",38,18,8,12,72,53,19,62
6,"



                                    Aston Villa
                                

",38,18,7,13,51,46,5,61
7,"



                                    Spurs
                                

",38,18,6,14,70,63,7,60
8,"



                                    Brentford
                                

",38,15,14,9,58,46,12,59
9,"



                                    Fulham
                                

",38,15,7,16,55,53,2,52
10,"



                                    C Palace
                                

",38,11,12,15,40,49,-9,45
11,"



                                    Chelsea
                                

",38,11,11,16,38,47,-9,44
12,"



                                    Wolves
                                

",38,11,8,19,31,58,-27,41
13,"



                                    West Ham
                                

",38,11,7,20,42,55,-13,40
14,"



                                    AFC Bournemouth
                                

",38,11,6,21,37,71,-34,39
15,"



                                    Nottm Forest
                                

",38,9,11,18,38,68,-30,38
16,"



                                    Everton
                                

",38,8,12,18,34,57,-23,36
17,"



                                    Leicester
                                

",38,9,7,22,51,68,-17,34
18,"



                                    Leeds
                                

",38,7,10,21,48,78,-30,31
19,"



                                    Southampton
                                

",38,6,7,25,36,73,-37,25
